epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,500.849,1.41501,0.56947,0.82301,0.98441,0.99834,0.99459,0.66952,1.35694,0.63449,0.80193,0.000800577,0.000800577,0.000800577
44,512.109,1.42823,0.58731,0.82477,0.98456,0.99709,0.995,0.64954,1.41495,0.62733,0.80583,0.000779948,0.000779948,0.000779948
45,523.325,1.38546,0.58533,0.81901,0.9846,0.99527,0.995,0.65764,1.38774,0.61262,0.80102,0.000759318,0.000759318,0.000759318
46,534.529,1.3661,0.56412,0.82128,0.99135,0.99623,0.995,0.65958,1.40214,0.61028,0.79795,0.000738689,0.000738689,0.000738689
47,545.69,1.41249,0.57001,0.82796,0.98487,0.99418,0.995,0.6504,1.36972,0.5733,0.79949,0.00071806,0.00071806,0.00071806
48,557.681,1.38281,0.55587,0.82671,0.98456,0.99548,0.995,0.67024,1.33604,0.58084,0.79856,0.000697431,0.000697431,0.000697431
49,568.795,1.35547,0.54722,0.82328,0.98449,0.99785,0.995,0.66898,1.34129,0.51816,0.81453,0.000676802,0.000676802,0.000676802
50,579.971,1.40594,0.567,0.82003,0.98482,0.99834,0.995,0.68641,1.25451,0.54163,0.8051,0.000656173,0.000656173,0.000656173
51,591.098,1.33255,0.56056,0.81278,0.98444,0.99817,0.995,0.68158,1.36327,0.59709,0.79989,0.000635544,0.000635544,0.000635544
52,602.287,1.34654,0.5578,0.80668,0.98712,0.99844,0.995,0.63315,1.40536,0.5678,0.80538,0.000614915,0.000614915,0.000614915
53,613.462,1.32807,0.54661,0.81454,0.99456,0.99897,0.995,0.6809,1.35659,0.55654,0.80541,0.000594286,0.000594286,0.000594286
54,624.676,1.3483,0.55461,0.81615,0.98449,0.99618,0.995,0.6877,1.30505,0.59276,0.79235,0.000573656,0.000573656,0.000573656
55,635.867,1.3687,0.55171,0.81332,0.98454,0.99814,0.995,0.65663,1.36018,0.58389,0.79756,0.000553027,0.000553027,0.000553027
56,647.031,1.38333,0.55222,0.8173,0.98455,0.99537,0.995,0.66149,1.4368,0.60365,0.79817,0.000532398,0.000532398,0.000532398
57,658.189,1.35932,0.5475,0.81856,0.98479,0.99775,0.995,0.66627,1.34932,0.57648,0.79653,0.000511769,0.000511769,0.000511769
58,669.37,1.28595,0.54725,0.80456,0.98443,0.9964,0.995,0.69162,1.28158,0.57871,0.78973,0.00049114,0.00049114,0.00049114
59,680.577,1.30318,0.54257,0.81907,0.98445,0.99841,0.995,0.65833,1.35114,0.56719,0.80357,0.000470511,0.000470511,0.000470511
60,691.753,1.31107,0.54285,0.82148,0.98467,0.99838,0.995,0.6953,1.307,0.53706,0.80004,0.000449882,0.000449882,0.000449882
61,702.916,1.30068,0.53773,0.81112,0.98444,0.9985,0.995,0.6608,1.36108,0.57528,0.80234,0.000429253,0.000429253,0.000429253
62,714.108,1.30813,0.5247,0.81426,0.98444,0.99859,0.995,0.69567,1.29335,0.54959,0.79077,0.000408623,0.000408623,0.000408623
63,725.277,1.31664,0.52346,0.81619,0.98477,0.99973,0.995,0.70159,1.29257,0.57691,0.79225,0.000387994,0.000387994,0.000387994
64,736.486,1.31623,0.54929,0.8184,0.98626,0.99853,0.995,0.69641,1.30476,0.55355,0.79724,0.000367365,0.000367365,0.000367365
65,747.662,1.30291,0.52751,0.81718,0.98662,0.99923,0.995,0.69381,1.32437,0.55978,0.80207,0.000346736,0.000346736,0.000346736
66,758.836,1.28397,0.52271,0.81425,0.98448,0.99792,0.995,0.69736,1.2829,0.56508,0.79412,0.000326107,0.000326107,0.000326107
67,769.993,1.29344,0.52391,0.81261,0.98504,0.99857,0.995,0.67996,1.33415,0.57698,0.79614,0.000305478,0.000305478,0.000305478
68,781.192,1.28399,0.51565,0.82309,0.98452,0.99644,0.995,0.68458,1.31378,0.6084,0.78641,0.000284849,0.000284849,0.000284849
69,792.365,1.30105,0.51591,0.81379,0.98577,0.975,0.98852,0.69137,1.28836,0.59699,0.78835,0.00026422,0.00026422,0.00026422
70,803.533,1.2539,0.5061,0.81326,0.98442,0.99824,0.99492,0.70016,1.3048,0.56725,0.79928,0.00024359,0.00024359,0.00024359
71,835.905,1.24323,0.50333,0.82339,0.98447,0.99846,0.995,0.69167,1.31757,0.55887,0.78746,0.000222961,0.000222961,0.000222961
72,847.058,1.2343,0.50617,0.82277,0.98468,0.99849,0.995,0.69745,1.26295,0.55012,0.79005,0.000202332,0.000202332,0.000202332
73,1017.29,1.24519,0.51089,0.81753,0.99039,0.975,0.99381,0.69388,1.31277,0.58791,0.79068,0.000181703,0.000181703,0.000181703
74,1028.39,1.22626,0.50885,0.81401,0.98467,0.9978,0.995,0.70944,1.25358,0.56635,0.79018,0.000161074,0.000161074,0.000161074
75,1039.52,1.2305,0.50496,0.82025,0.98651,0.975,0.98667,0.69782,1.24949,0.57808,0.79061,0.000140445,0.000140445,0.000140445
76,1050.69,1.22241,0.49876,0.82059,0.98449,0.99712,0.995,0.6872,1.2941,0.56408,0.79091,0.000119816,0.000119816,0.000119816
77,1061.92,1.19113,0.50108,0.81493,0.99165,0.975,0.99174,0.66089,1.33013,0.56051,0.78958,9.91865e-05,9.91865e-05,9.91865e-05
78,1073.07,1.22567,0.48518,0.82038,0.99136,0.975,0.99381,0.68934,1.28564,0.55226,0.79181,7.85574e-05,7.85574e-05,7.85574e-05
79,1084.25,1.20484,0.48575,0.81656,0.98449,0.99798,0.995,0.68746,1.28805,0.54707,0.79321,5.79283e-05,5.79283e-05,5.79283e-05
80,1095.48,1.1939,0.47844,0.81542,0.98454,0.99799,0.995,0.68903,1.29505,0.547,0.79295,3.72991e-05,3.72991e-05,3.72991e-05
